,energy,valence,weather
0,0.711,0.801,1
1,0.864,0.736,1
2,0.812,0.472,1
3,0.884,0.626,1
4,0.868,0.555,1
5,0.798,0.58,1
6,0.689,0.41,1
7,0.903,0.898,1
8,0.79,0.8,1
9,0.725,0.784,1
10,0.59,0.687,1
11,0.837,0.775,1
12,0.86,0.492,1
13,0.73,0.513,1
14,0.896,0.729,1
15,0.76,0.843,1
16,0.76,0.65,1
17,0.732,0.708,1
18,0.717,0.809,1
19,0.895,0.657,1
20,0.685,0.393,1
21,0.903,0.767,1
22,0.745,0.826,1
23,0.701,0.515,1
24,0.867,0.962,1
25,0.855,0.64,1
26,0.847,0.666,1
27,0.933,0.797,1
28,0.724,0.495,1
29,0.691,0.535,1
30,0.85,0.883,1
31,0.886,0.637,1
32,0.8,0.48,1
33,0.952,0.655,1
34,0.657,0.476,1
35,0.829,0.815,1
36,0.535,0.594,1
37,0.87,0.494,1
38,0.515,0.949,1
39,0.843,0.528,1
40,0.785,0.585,1
41,0.914,0.784,1
42,0.834,0.659,1
43,0.789,0.946,1
44,0.544,0.602,1
45,0.786,0.512,1
46,0.891,0.674,1
47,0.86,0.79,1
48,0.747,0.645,1
49,0.85,0.847,1
50,0.861,0.859,1
51,0.741,0.635,1
52,0.802,0.425,1
53,0.963,0.946,1
54,0.834,0.618,1
55,0.841,0.33,1
56,0.786,0.915,1
57,0.75,0.828,1
58,0.927,0.815,1
59,0.809,0.748,1
60,0.8,0.527,1
61,0.795,0.476,1
62,0.733,0.591,1
63,0.713,0.807,1
64,0.693,0.581,1
65,0.907,0.353,1
66,0.892,0.76,1
67,0.904,0.671,1
68,0.917,0.654,1
69,0.527,0.574,1
70,0.801,0.609,1
71,0.867,0.964,1
72,0.951,0.623,1
73,0.66,0.574,1
74,0.679,0.744,1
75,0.807,0.812,1
76,0.644,0.293,1
77,0.751,0.875,1
78,0.779,0.632,1
79,0.846,0.736,1
80,0.781,0.841,1
81,0.72,0.491,1
82,0.863,0.64,1
83,0.84,0.656,1
84,0.728,0.375,1
85,0.653,0.542,1
86,0.869,0.688,1
87,0.693,0.702,1
88,0.842,0.898,1
89,0.886,0.545,1
90,0.826,0.713,1
91,0.937,0.654,1
92,0.855,0.852,1
93,0.934,0.775,1
94,0.889,0.881,1
95,0.839,0.526,1
96,0.884,0.949,1
97,0.714,0.488,1
98,0.801,0.769,1
99,0.888,0.484,1
0,0.846,0.546,1
1,0.773,0.474,1
2,0.764,0.478,1
3,0.808,0.494,1
4,0.513,0.503,1
5,0.731,0.662,1
6,0.784,0.479,1
7,0.786,0.597,1
8,0.951,0.441,1
9,0.786,0.483,1
10,0.783,0.622,1
11,0.797,0.598,1
12,0.8,0.8,1
13,0.732,0.631,1
14,0.7,0.801,1
15,0.831,0.624,1
16,0.595,0.435,1
17,0.897,0.591,1
18,0.884,0.768,1
19,0.878,0.481,1
20,0.839,0.589,1
21,0.787,0.409,1
22,0.72,0.673,1
23,0.602,0.715,1
24,0.811,0.711,1
25,0.849,0.774,1
26,0.813,0.722,1
27,0.765,0.886,1
28,0.802,0.724,1
29,0.793,0.831,1
30,0.82,0.583,1
31,0.796,0.61,1
32,0.842,0.517,1
33,0.459,0.695,1
34,0.733,0.551,1
35,0.918,0.769,1
36,0.855,0.646,1
37,0.934,0.436,1
38,0.765,0.479,1
39,0.787,0.349,1
40,0.763,0.464,1
41,0.795,0.876,1
42,0.786,0.347,1
43,0.837,0.936,1
44,0.872,0.682,1
45,0.819,0.491,1
46,0.832,0.213,1
47,0.655,0.221,1
48,0.599,0.761,1
49,0.713,0.879,1
50,0.765,0.343,1
51,0.845,0.615,1
52,0.934,0.905,1
53,0.849,0.722,1
54,0.814,0.715,1
55,0.753,0.403,1
56,0.716,0.611,1
57,0.944,0.705,1
58,0.874,0.905,1
59,0.905,0.636,1
60,0.875,0.717,1
61,0.909,0.648,1
62,0.698,0.867,1
63,0.809,0.778,1
64,0.837,0.721,1
65,0.802,0.539,1
66,0.868,0.72,1
67,0.836,0.517,1
68,0.869,0.473,1
69,0.851,0.452,1
70,0.677,0.248,1
71,0.734,0.37,1
72,0.913,0.658,1
73,0.73,0.334,1
74,0.758,0.542,1
75,0.815,0.664,1
76,0.698,0.324,1
77,0.747,0.8,1
78,0.793,0.677,1
79,0.882,0.385,1
80,0.854,0.152,1
81,0.709,0.624,1
82,0.823,0.87,1
83,0.732,0.276,1
84,0.835,0.654,1
85,0.828,0.669,1
86,0.812,0.657,1
87,0.841,0.942,1
88,0.841,0.861,1
89,0.84,0.468,1
90,0.825,0.784,1
91,0.861,0.654,1
92,0.901,0.86,1
93,0.808,0.599,1
94,0.69,0.457,1
95,0.784,0.517,1
96,0.783,0.816,1
97,0.764,0.582,1
98,0.793,0.588,1
99,0.915,0.779,1
0,0.527,0.582,1
1,0.554,0.0634,1
2,0.427,0.216,1
3,0.781,0.795,1
4,0.508,0.405,1
5,0.58,0.754,1
6,0.704,0.894,1
7,0.649,0.501,1
8,0.505,0.538,1
9,0.795,0.819,1
10,0.594,0.0628,1
11,0.611,0.144,1
12,0.659,0.438,1
13,0.623,0.811,1
14,0.575,0.65,1
15,0.756,0.775,1
16,0.638,0.313,1
17,0.824,0.87,1
18,0.698,0.66,1
19,0.889,0.65,1
20,0.718,0.515,1
21,0.687,0.588,1
22,0.498,0.259,1
23,0.652,0.484,1
24,0.754,0.704,1
25,0.7,0.634,1
26,0.573,0.373,1
27,0.878,0.305,1
28,0.669,0.628,1
29,0.518,0.26,1
30,0.554,0.349,1
31,0.814,0.57,1
32,0.756,0.453,1
33,0.733,0.295,1
34,0.735,0.398,1
35,0.641,0.418,1
36,0.642,0.388,1
37,0.628,0.771,1
38,0.782,0.798,1
39,0.803,0.221,1
40,0.844,0.586,1
41,0.851,0.711,1
42,0.603,0.317,1
43,0.564,0.123,1
44,0.733,0.291,1
45,0.761,0.412,1
46,0.732,0.576,1
47,0.579,0.43,1
48,0.842,0.416,1
49,0.744,0.171,1
50,0.566,0.342,1
51,0.717,0.603,1
52,0.571,0.165,1
53,0.532,0.529,1
54,0.538,0.831,1
55,0.552,0.615,1
56,0.591,0.192,1
57,0.481,0.395,1
58,0.766,0.558,1
59,0.592,0.44,1
60,0.763,0.752,1
61,0.695,0.472,1
62,0.65,0.647,1
63,0.809,0.272,1
64,0.591,0.309,1
65,0.778,0.552,1
66,0.739,0.43,1
67,0.661,0.179,1
68,0.647,0.195,1
69,0.696,0.623,1
70,0.848,0.803,1
71,0.778,0.267,1
72,0.628,0.479,1
73,0.729,0.475,1
74,0.663,0.461,1
75,0.505,0.495,1
76,0.653,0.428,1
77,0.574,0.511,1
78,0.677,0.627,1
79,0.426,0.201,1
80,0.643,0.534,1
81,0.569,0.721,1
82,0.811,0.587,1
83,0.672,0.406,1
84,0.901,0.836,1
85,0.662,0.434,1
86,0.635,0.207,1
87,0.705,0.196,1
88,0.612,0.626,1
89,0.807,0.813,1
90,0.572,0.568,1
91,0.69,0.497,1
92,0.745,0.897,1
93,0.646,0.966,1
94,0.657,0.489,1
95,0.574,0.33,1
96,0.717,0.523,1
97,0.66,0.257,1
98,0.873,0.817,1
99,0.634,0.313,1
0,0.525,0.531,2
1,0.655,0.412,2
2,0.736,0.299,2
3,0.701,0.742,2
4,0.435,0.512,2
5,0.492,0.159,2
6,0.689,0.568,2
7,0.388,0.412,2
8,0.422,0.175,2
9,0.495,0.235,2
10,0.393,0.728,2
11,0.498,0.283,2
12,0.313,0.765,2
13,0.729,0.689,2
14,0.594,0.413,2
15,0.618,0.848,2
16,0.534,0.244,2
17,0.621,0.436,2
18,0.61,0.554,2
19,0.467,0.386,2
20,0.469,0.467,2
21,0.517,0.2,2
22,0.438,0.325,2
23,0.236,0.254,2
24,0.334,0.496,2
25,0.563,0.495,2
26,0.414,0.439,2
27,0.378,0.161,2
28,0.496,0.102,2
29,0.229,0.358,2
30,0.445,0.209,2
31,0.63,0.313,2
32,0.364,0.21,2
33,0.576,0.269,2
34,0.574,0.529,2
35,0.572,0.403,2
36,0.327,0.411,2
37,0.255,0.15,2
38,0.452,0.534,2
39,0.382,0.318,2
40,0.336,0.518,2
41,0.34,0.223,2
42,0.35,0.0802,2
43,0.418,0.386,2
44,0.659,0.34,2
45,0.593,0.329,2
46,0.749,0.729,2
47,0.324,0.444,2
48,0.494,0.24,2
49,0.684,0.72,2
50,0.349,0.307,2
51,0.383,0.333,2
52,0.696,0.464,2
53,0.687,0.502,2
54,0.0847,0.112,2
55,0.251,0.528,2
56,0.657,0.455,2
57,0.436,0.132,2
58,0.613,0.42,2
59,0.483,0.29,2
60,0.204,0.274,2
61,0.335,0.116,2
62,0.444,0.658,2
63,0.435,0.335,2
64,0.264,0.227,2
65,0.214,0.189,2
66,0.4,0.598,2
67,0.335,0.111,2
68,0.494,0.624,2
69,0.339,0.0849,2
70,0.642,0.494,2
71,0.755,0.862,2
72,0.285,0.203,2
73,0.379,0.509,2
74,0.318,0.227,2
75,0.454,0.273,2
76,0.307,0.356,2
77,0.802,0.675,2
78,0.184,0.247,2
79,0.41,0.442,2
80,0.211,0.362,2
81,0.38,0.152,2
82,0.41,0.28,2
83,0.604,0.361,2
84,0.565,0.306,2
85,0.376,0.331,2
86,0.472,0.24,2
87,0.364,0.4,2
88,0.359,0.488,2
89,0.772,0.186,2
90,0.706,0.766,2
91,0.594,0.869,2
92,0.408,0.151,2
93,0.27,0.274,2
94,0.422,0.185,2
95,0.432,0.194,2
96,0.39,0.206,2
97,0.58,0.257,2
98,0.156,0.405,2
99,0.288,0.308,2
0,0.186,0.207,2
1,0.14,0.0579,2
2,0.0755,0.179,2
3,0.194,0.353,2
4,0.158,0.101,2
5,0.401,0.0775,2
6,0.253,0.411,2
7,0.424,0.495,2
8,0.316,0.154,2
9,0.319,0.299,2
10,0.535,0.642,2
11,0.277,0.339,2
12,0.116,0.22,2
13,0.485,0.508,2
14,0.162,0.257,2
15,0.161,0.121,2
16,0.279,0.296,2
17,0.352,0.0566,2
18,0.204,0.471,2
19,0.245,0.632,2
20,0.289,0.701,2
21,0.547,0.0575,2
22,0.341,0.595,2
23,0.323,0.331,2
24,0.162,0.258,2
25,0.172,0.277,2
26,0.168,0.353,2
27,0.543,0.147,2
28,0.141,0.0368,2
29,0.253,0.152,2
30,0.481,0.342,2
31,0.31,0.125,2
32,0.231,0.0873,2
33,0.225,0.558,2
34,0.509,0.791,2
35,0.175,0.136,2
36,0.385,0.592,2
37,0.5,0.567,2
38,0.358,0.202,2
39,0.14,0.0948,2
40,0.146,0.324,2
41,0.4,0.714,2
42,0.266,0.236,2
43,0.517,0.343,2
44,0.175,0.0985,2
45,0.387,0.0398,2
46,0.289,0.177,2
47,0.16,0.049,2
48,0.332,0.425,2
49,0.194,0.23,2
50,0.249,0.34,2
51,0.212,0.503,2
52,0.216,0.0579,2
53,0.413,0.391,2
54,0.189,0.411,2
55,0.352,0.0412,2
56,0.449,0.101,2
57,0.224,0.234,2
58,0.378,0.074,2
59,0.221,0.646,2
60,0.163,0.222,2
61,0.214,0.203,2
62,0.363,0.522,2
63,0.39,0.121,2
64,0.319,0.0398,2
65,0.258,0.0378,2
66,0.366,0.286,2
67,0.457,0.165,2
68,0.227,0.127,2
69,0.418,0.53,2
70,0.254,0.155,2
71,0.321,0.321,2
72,0.149,0.583,2
73,0.271,0.732,2
74,0.113,0.0967,2
75,0.318,0.114,2
76,0.226,0.618,2
77,0.283,0.103,2
78,0.503,0.247,2
79,0.579,0.705,2
80,0.246,0.366,2
81,0.175,0.125,2
82,0.0626,0.206,2
83,0.426,0.326,2
84,0.782,0.871,2
85,0.135,0.193,2
86,0.505,0.622,2
87,0.358,0.211,2
88,0.457,0.194,2
89,0.247,0.199,2
90,0.252,0.039,2
91,0.292,0.504,2
92,0.0944,0.318,2
93,0.103,0.301,2
94,0.268,0.111,2
95,0.366,0.517,2
96,0.122,0.4,2
97,0.0801,0.136,2
98,0.115,0.111,2
99,0.19,0.597,2
0,0.538,0.416,2
1,0.405,0.0537,2
2,0.745,0.166,2
3,0.573,0.342,2
4,0.574,0.545,2
5,0.472,0.0832,2
6,0.437,0.18,2
7,0.331,0.349,2
8,0.541,0.0338,2
9,0.44,0.121,2
10,0.415,0.0398,2
11,0.596,0.259,2
12,0.798,0.0382,2
13,0.508,0.118,2
14,0.505,0.479,2
15,0.266,0.25,2
16,0.54,0.228,2
17,0.491,0.106,2
18,0.597,0.0371,2
19,0.447,0.371,2
20,0.754,0.0402,2
21,0.517,0.118,2
22,0.499,0.531,2
23,0.65,0.0395,2
24,0.505,0.228,2
25,0.558,0.185,2
26,0.465,0.0352,2
27,0.596,0.503,2
28,0.498,0.263,2
29,0.291,0.0573,2
30,0.727,0.455,2
31,0.554,0.231,2
32,0.837,0.0355,2
33,0.565,0.287,2
34,0.594,0.0706,2
35,0.346,0.128,2
36,0.651,0.224,2
37,0.566,0.0445,2
38,0.32,0.217,2
39,0.487,0.4,2
40,0.516,0.0677,2
41,0.858,0.543,2
42,0.444,0.0435,2
43,0.394,0.0756,2
44,0.541,0.301,2
45,0.392,0.113,2
46,0.44,0.404,2
47,0.517,0.266,2
48,0.514,0.0963,2
49,0.218,0.216,2
50,0.602,0.231,2
51,0.684,0.431,2
52,0.385,0.0546,2
53,0.304,0.352,2
54,0.705,0.521,2
55,0.479,0.432,2
56,0.475,0.0596,2
57,0.413,0.192,2
58,0.432,0.382,2
59,0.421,0.242,2
60,0.626,0.404,2
61,0.467,0.125,2
62,0.504,0.0394,2
63,0.265,0.428,2
64,0.777,0.123,2
65,0.405,0.169,2
66,0.616,0.308,2
67,0.436,0.239,2
68,0.646,0.55,2
69,0.527,0.0382,2
70,0.429,0.184,2
71,0.477,0.127,2
72,0.22,0.107,2
73,0.521,0.47,2
74,0.409,0.266,2
75,0.557,0.106,2
76,0.465,0.443,2
77,0.737,0.355,2
78,0.422,0.119,2
79,0.5,0.0893,2
80,0.483,0.184,2
81,0.415,0.143,2
82,0.726,0.0391,2
83,0.751,0.305,2
84,0.801,0.0362,2
85,0.478,0.0769,2
86,0.486,0.159,2
87,0.5,0.149,2
88,0.55,0.188,2
89,0.649,0.0612,2
90,0.645,0.183,2
91,0.579,0.182,2
92,0.266,0.219,2
93,0.553,0.0799,2
94,0.384,0.323,2
95,0.661,0.0393,2
96,0.409,0.236,2
97,0.559,0.0393,2
98,0.749,0.262,2
99,0.644,0.106,2
0,0.0165,0.0394,3
1,0.0209,0.18,3
2,0.00533,0.216,3
3,0.04,0.347,3
4,0.0184,0.232,3
5,0.0157,0.32,3
6,0.0571,0.258,3
7,0.00515,0.191,3
8,0.0429,0.398,3
9,0.00938,0.131,3
10,0.0402,0.0855,3
11,0.0197,0.319,3
12,0.064,0.34,3
13,0.00524,0.198,3
14,0.0865,0.211,3
15,0.0148,0.153,3
16,0.0211,0.072,3
17,0.0172,0.352,3
18,0.033,0.175,3
19,0.021,0.113,3
20,0.0489,0.242,3
21,0.00313,0.12,3
22,0.0368,0.0676,3
23,0.108,0.147,3
24,0.0343,0.592,3
25,0.0198,0.247,3
26,0.0146,0.121,3
27,0.0018,0.289,3
28,0.0309,0.209,3
29,0.00375,0.174,3
30,0.0037,0.192,3
31,0.0176,0.233,3
32,0.0194,0.296,3
33,0.00486,0.406,3
34,0.0303,0.159,3
35,0.0435,0.119,3
36,0.0427,0.275,3
37,0.0623,0.237,3
38,0.00729,0.388,3
39,0.136,0.515,3
40,0.0233,0.396,3
41,0.0359,0.0775,3
42,0.234,0.593,3
43,0.0451,0.143,3
44,0.0924,0.126,3
45,0.022,0.245,3
46,0.0412,0.185,3
47,0.011,0.0856,3
48,0.0108,0.419,3
49,0.00478,0.122,3
50,0.0476,0.119,3
51,0.00739,0.0568,3
52,0.0619,0.175,3
53,0.00343,0.343,3
54,0.0358,0.145,3
55,0.0395,0.181,3
56,0.141,0.526,3
57,0.00375,0.11,3
58,0.00229,0.281,3
0,0.422,0.175,3
1,0.382,0.318,3
2,0.454,0.461,3
3,0.593,0.538,3
4,0.417,0.174,3
5,0.401,0.208,3
6,0.61,0.554,3
7,0.467,0.386,3
8,0.518,0.205,3
9,0.346,0.0974,3
10,0.82,0.465,3
11,0.481,0.38,3
12,0.426,0.292,3
13,0.225,0.297,3
14,0.473,0.446,3
15,0.255,0.15,3
16,0.323,0.372,3
17,0.378,0.161,3
18,0.619,0.645,3
19,0.34,0.223,3
20,0.52,0.736,3
21,0.494,0.24,3
22,0.27,0.33,3
23,0.24,0.32,3
24,0.0847,0.112,3
25,0.251,0.528,3
26,0.703,0.385,3
27,0.436,0.132,3
28,0.526,0.366,3
29,0.43,0.113,3
30,0.335,0.116,3
31,0.397,0.504,3
32,0.538,0.63,3
33,0.186,0.321,3
34,0.386,0.214,3
35,0.465,0.543,3
36,0.332,0.675,3
37,0.323,0.188,3
38,0.39,0.123,3
39,0.335,0.111,3
40,0.377,0.446,3
41,0.319,0.216,3
42,0.324,0.501,3
43,0.318,0.227,3
44,0.307,0.356,3
45,0.311,0.165,3
46,0.494,0.212,3
47,0.379,0.613,3
48,0.38,0.152,3
49,0.453,0.494,3
50,0.399,0.0886,3
51,0.411,0.163,3
52,0.254,0.378,3
53,0.293,0.373,3
54,0.146,0.492,3
55,0.356,0.279,3
56,0.333,0.37,3
57,0.379,0.225,3
58,0.288,0.308,3
59,0.415,0.341,3
60,0.366,0.13,3
61,0.428,0.359,3
62,0.64,0.592,3
63,0.461,0.35,3
64,0.237,0.174,3
65,0.257,0.412,3
66,0.373,0.0823,3
67,0.286,0.0666,3
68,0.545,0.14,3
69,0.447,0.192,3
70,0.596,0.215,3
71,0.261,0.237,3
72,0.468,0.646,3
73,0.345,0.218,3
74,0.281,0.279,3
75,0.521,0.39,3
76,0.227,0.229,3
77,0.399,0.265,3
78,0.579,0.255,3
79,0.399,0.302,3
80,0.504,0.551,3
81,0.516,0.38,3
82,0.267,0.0592,3
83,0.0989,0.3,3
84,0.404,0.129,3
85,0.29,0.359,3
86,0.425,0.27,3
87,0.295,0.314,3
88,0.176,0.132,3
89,0.27,0.32,3
90,0.372,0.325,3
91,0.345,0.231,3
