,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.491,0.655,0,-7.367,1,0.0608,0.293,3.21e-05,0.1,0.443,165.924,audio_features,4TWJvu5iSNYhUgVBnqWvBY,spotify:track:4TWJvu5iSNYhUgVBnqWvBY,https://api.spotify.com/v1/tracks/4TWJvu5iSNYhUgVBnqWvBY,https://api.spotify.com/v1/audio-analysis/4TWJvu5iSNYhUgVBnqWvBY,270360,4
1,0.534,0.649,5,-7.531,1,0.0435,0.00712,6.22e-06,0.137,0.358,161.828,audio_features,59zrASvoFolvYcBSewxuT4,spotify:track:59zrASvoFolvYcBSewxuT4,https://api.spotify.com/v1/tracks/59zrASvoFolvYcBSewxuT4,https://api.spotify.com/v1/audio-analysis/59zrASvoFolvYcBSewxuT4,174279,4
2,0.809,0.374,4,-8.883,1,0.115,0.17,3.35e-06,0.104,0.425,141.936,audio_features,5oNE1olhKsyCjLJslVBghX,spotify:track:5oNE1olhKsyCjLJslVBghX,https://api.spotify.com/v1/tracks/5oNE1olhKsyCjLJslVBghX,https://api.spotify.com/v1/audio-analysis/5oNE1olhKsyCjLJslVBghX,225440,4
3,0.535,0.388,7,-9.805,0,0.155,0.507,0.0,0.11,0.412,106.703,audio_features,5dXWFMwD7I7zXsInONVl0H,spotify:track:5dXWFMwD7I7zXsInONVl0H,https://api.spotify.com/v1/tracks/5dXWFMwD7I7zXsInONVl0H,https://api.spotify.com/v1/audio-analysis/5dXWFMwD7I7zXsInONVl0H,174000,5
4,0.646,0.94,10,-2.856,0,0.0838,0.0209,0.0,0.0691,0.704,129.011,audio_features,4nVyHATevhl5RC6Qmoko5H,spotify:track:4nVyHATevhl5RC6Qmoko5H,https://api.spotify.com/v1/tracks/4nVyHATevhl5RC6Qmoko5H,https://api.spotify.com/v1/audio-analysis/4nVyHATevhl5RC6Qmoko5H,231787,4
5,0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022,audio_features,4Li2WHPkuyCdtmokzW2007,spotify:track:4Li2WHPkuyCdtmokzW2007,https://api.spotify.com/v1/tracks/4Li2WHPkuyCdtmokzW2007,https://api.spotify.com/v1/audio-analysis/4Li2WHPkuyCdtmokzW2007,219333,4
6,0.644,0.661,4,-6.161,1,0.0332,0.144,1.54e-06,0.177,0.55,82.022,audio_features,06Xh1KvQofFghlSt33mFjc,spotify:track:06Xh1KvQofFghlSt33mFjc,https://api.spotify.com/v1/tracks/06Xh1KvQofFghlSt33mFjc,https://api.spotify.com/v1/audio-analysis/06Xh1KvQofFghlSt33mFjc,213373,4
7,0.48,0.631,7,-5.488,1,0.116,0.0791,0.000105,0.149,0.515,84.164,audio_features,6MXXY2eiWkpDCezVCc0cMH,spotify:track:6MXXY2eiWkpDCezVCc0cMH,https://api.spotify.com/v1/tracks/6MXXY2eiWkpDCezVCc0cMH,https://api.spotify.com/v1/audio-analysis/6MXXY2eiWkpDCezVCc0cMH,195093,4
8,0.617,0.717,10,-7.858,0,0.153,0.00564,0.0,0.408,0.49,103.992,audio_features,0j2T0R9dR9qdJYsB7ciXhf,spotify:track:0j2T0R9dR9qdJYsB7ciXhf,https://api.spotify.com/v1/tracks/0j2T0R9dR9qdJYsB7ciXhf,https://api.spotify.com/v1/audio-analysis/0j2T0R9dR9qdJYsB7ciXhf,311867,4
9,0.694,0.475,2,-7.035,1,0.0345,0.159,3.9e-06,0.103,0.391,94.987,audio_features,3BrWLBC4WYx393yRUOlTih,spotify:track:3BrWLBC4WYx393yRUOlTih,https://api.spotify.com/v1/tracks/3BrWLBC4WYx393yRUOlTih,https://api.spotify.com/v1/audio-analysis/3BrWLBC4WYx393yRUOlTih,147829,4
